system_id,word,ner
0,新加坡,GPE
0,台灣,GPE
0,星宇星,PERSON
0,星宇,PERSON
0,星宇,PERSON
0,星加坡,GPE
0,長榮,ORG
0,三,CARDINAL
2,星宇,PERSON
3,金城武,PERSON
3,長榮,PERSON
6,台灣新加坡,GPE
7,星宇,PERSON
10,香港,GPE
10,國泰,ORG
10,三,CARDINAL
11,三,CARDINAL
12,新加坡,GPE
12,星宇,PERSON
13,新航,ORG
13,兩,CARDINAL
14,新航,ORG
15,新航,ORG
15,國泰轉機,ORG
16,星宇,PERSON
17,星宇,PERSON
18,新航,ORG
19,星宇,PERSON
21,星宇,PERSON
22,新航,ORG
23,ChinaAirlines,GPE
24,勝國航,ORG
24,新航,ORG
25,三,CARDINAL
27,新航,ORG
27,787,PRODUCT
28,SQ787,PRODUCT
29,787QQ,PRODUCT
32,華航,ORG
33,350,CARDINAL
33,787,CARDINAL
33,339,CARDINAL
34,新航,ORG
34,787,PRODUCT
34,酷航PLUS星宇,ORG
34,A350路,FAC
35,星宇新航,ORG
35,華航,ORG
35,星宇,PERSON
36,新航,ORG
36,台北,GPE
36,787,CARDINAL
36,新航350,FAC
38,華航,ORG
38,華航,ORG
38,長榮新航,ORG
39,爽華航,PERSON
39,半夜,TIME
39,321,FAC
39,773,CARDINAL
41,星宇,PERSON
42,新加坡,GPE
44,1個月,DATE
44,長榮,ORG
44,5個月,DATE
44,陳漢典,PERSON
44,Lulu,PERSON
44,十年前,DATE
44,長榮航空,PERSON
44,金城武幫公司,ORG
44,池上,LOC
44,n國外航空公司,ORG
44,阿聯酋,GPE
44,C羅,PERSON
44,球王比利,PERSON
44,卡達,GPE
44,喬科維奇,PERSON
44,星宇,PERSON
44,金城武,PERSON
44,十\n年,DATE
46,金城武,PERSON
47,蔡依林,PERSON
47,484,CARDINAL
48,三,CARDINAL
50,豬哥亮,PERSON
51,週末,DATE
52,星宇,PERSON
52,年終,DATE
53,蔡依林,PERSON
57,豬哥亮,PERSON
58,蔡依林,PERSON
58,金城武,PERSON
58,今年,DATE
59,松指部航廈,FAC
62,服志玲,PERSON
62,花志玲,PERSON
66,金城武,PERSON
67,陳漢典,PERSON
69,nyrnujustasoubriquet,PERSON
69,星宇航空,PERSON
69,A330neo\n,PERSON
69,WedMay,PERSON
69,A330neo\n,PRODUCT
69,nSource,FAC
