system_id,sentence
0,請問新加坡飛台灣\n\n星宇星加坡長榮會怎麼選呢
0,\n\n看票價星宇是便宜蠻多的不明白怎麼差那麼多\n\n但是如果選星宇累計的里程和星加坡長榮應該是分開的
0,"\n\n論位置的話,這三家哪個會比較大呢\n\n還是都用班機時刻選\n\n請問大家會怎麼選\n\n感謝"
1,這有什麼好糾結的
1,你沒高卡沒哩程需求就是選便宜的啊
2,星宇你應該是看到只能托運件的我最近也有注意到
3,金城武都選長榮你參考
4,非哩程卡客就挑便宜的啊為什麼便宜可能剛好低價票還有或設定促銷票給你看到
5,做頂的
6,台灣新加坡航線，不管什麼航空基本票價都是件行李
7,經濟
7,商務
7,通常我看到都星宇都貴很多欸每次都覺得他們真敢
8,你去全家消費可以累積OPENPOINT嗎
9,來這裡問就是搭最貴的
10,新航，不然香港換國泰，國內三家都是垃圾
11,酷航都完勝三家國籍，真心不騙
12,看你在不在意新加坡是那個航站，星宇這部分吃到虧
13,新航全部都很頂而且還兩件行李
14,新航不是記重嗎
15,新航或是國泰轉機1
16,星宇吧最便宜有什麼好猶豫的
17,星宇跟others應該很好選
18,新航不錯
19,星宇啊飛機坐起來都馬樣但放著新飛機不去坐去坐堆舊的幹嘛
20,有興趣的話可以考慮新航
21,星宇1
22,新航很過譽
23,ChinaAirlines可以起唱島嶼天光
24,大蛤特蛤酷航勝國航賣鬧啊新航是真的不錯免費wifi超香
25,你到底是要問哪三家
25,沒會籍哪家便宜就選那家
26,選便宜的，反正飛SIN不是350就是339
27,新航是787椅子有夠窄
28,SQ787難坐又熱硬要選會選339242的JX
29,喔對新航定是787QQ
30,選便宜的啊這麼簡單
31,驚濟艙哪有差，選便宜的
32,經濟艙有差啊，華航738vs星宇330neo差得可多了
33,"要飛蠻久的,350和787的艙壓,比339舒服多了"
34,新航787我覺得很難坐，可以考慮酷航PLUS星宇便宜是因為從A350路沒辦法滿到現在
35,當然是星宇新航跟華航是什麼咖
35,怎麼跟星宇比
36,新航台北都用787但個人偏好新航350不管什麼艙等都是
37,SQ還堆人在吹，有夠爛
38,我推華航沒有華航的話我會選長榮新航太貴了
39,當然星宇飛機新就是爽華航半夜那班坐到321太滑很難睡國泰773座位超小
40,整體星宇新航長榮，華航沒搭過
41,又不是卡客或商務當然選星宇，依你敘述甚至還比較便宜
42,新加坡航線長榮飛機應該是最舊款
44,最近星宇航空接連爆出負面新聞
44,包括年終只發1個月，足足比長榮少了5個月
44,\n還有疑似因為陳漢典和Lulu，商務艙乘客不能上頭等艙廁所
44,\n最近股價還路跌，名聲和剛創立時跌落不少
44,\n\n大概十年前，長榮航空找了金城武幫公司拍形象廣告，結果大爆紅，連在池上喝茶的棵\n樹都能成為景點，連最近空姐身亡案都能船過水無痕
44,\n國外航空公司如阿聯酋曾找過C羅和球王比利，卡達也找喬科維奇拍過廣告
44,\n\n如果星宇也能找金城武拍廣告，是否能扭轉形象，也演出王子復仇記，建立下個黃金十\n年
45,發廢文很有趣
46,你有問過在座各金城武的意見嗎
47,所以你是嫌蔡依林不夠格484
48,洗白
48,是要洗三小
49,只能給
50,請豬哥亮代言定可以
51,終於週末啦
52,星宇年終多少關旅客什麼事，軟硬體服務到位才是重點
53,腿了
53,已經找蔡依林了哦
54,吃XX的命操大老闆的心
55,什麼時後黑過
56,回去數字版吧
57,找豬哥亮我就推
58,都找了蔡依林了再找金城武今年是連個月都不想發
59,松指部航廈包機的那家比較需要
60,洗什麼
61,辛苦你寫了大篇廢文
62,名人代言，只服志玲姐姐，猶記那個公司主管只敢搭綠地球出差的時候，桌上本小花志玲姐姐桌曆，可以讓他們羨慕整年
63,廢文
64,找誰都沒用諧星讓形象大傷不如給員工福利
65,謝謝，我目前沒有意願
66,樓上野生金城武
67,Lulu陳漢典那個不就是頭等艙規範嗎還在炒啊
68,你自己覺得黑
69,"※引述nyrnujustasoubriquet之銘言\n標題情報星宇航空增租A321neo/減租A330neo\n時間WedMay220821192024\n\n星宇航空增租A321neo/減租A330neo\n過夜沒人貼就貼下\nSource公開資訊觀測站\n\n1原合約租賃8架A330900型客機，本次併調整為5架\n2增租A321neo\n先前下單A350F記者會中,k董就說他想增租6架窄體客機\nA330neo交機速度可能比預期中慢,因此與租機公司喬出新租賃合約,減A,增B方案\n星宇航空於2020年與ALC簽了8架A330neo租機合約\n依據公告訊息,快要返台的B58305MSN2066,將會是ALC租機的最後架\n剩下3架就不交了\n欲增租的6架A321neo,雖還沒公告交易相對人,但有相當的機率顯示,\n有可能雙方合意取消後續的3架A339neo交機,改以6架A321neo替代\nhttps//aviationflights/aib/A330/2066\n2026/2星宇航空也與空巴簽訂購買3架A330neo合約星宇航空倒是沒有揭露\n這是否取代2023/12與Avolon的租機合約,或是另個全新的購機合約\n事後看來,可能早在2023/Q3左右大概就知道與ALC的8架A330neo有產生變故\n此外,ALC也是SpiritAirlines的A320neo租機供應商之星宇也有可能得益\n於SpiritAirlines的延遲交付,進而搶到空出來的些租機公司slots\n\n星宇航空承租8架A321neo型客機之相關訊息\n\n事實發生日2026/3/10\n\n交易單位數量8架\n\n交易總金額每架約美金8,125萬元，，並將依實際年度調幅變動\n\n交易對象BOCAviationUKLimited\n\nSource公開資訊觀測站\n~~~~~~~~~~~~~~~~\n看來是長租12年\n\n交機日期沒提到,但既然是來自租機公司,應該是202X~2030年,不太會拖到2031之後\n\nBrandnewA321neovs精神號"
69,"個貴在內裝,個號稱人多熱鬧\n兩者更有千秋,很難選擇哩\n\n星宇航空2026/2月營收4818億,史上最高\nvs\n長榮航空2026/2月營收19002億史上最高\n\n至於華航那2架787,飛來飛去到處停放3月交機機率看來"
70,肯定是自有機精神號吧第三架787都在組裝了，第二架剛噴塗完，繼續等
71,最玄的是第二架又去CAE了認證還沒完
71,然後B17890都要回來了CI那兩架還在卡
72,還是因為座椅的問題沒辦法交付
72,若沒意外，華航787今年應該可以交付到5~6架
73,第二架在波特蘭噴漆謎啊都不回來
74,台中要再加碼嗎
74,好像5架了
75,台中幾乎可以卻定4月中會去第五架了
76,蛤又是32Q喔短點的雙走道不好麻
77,好吧繼續等吧反正總有天會回來的吧XD
78,台中要感謝華信的新機宣言啊XD發佈之後JX馬上大動作加碼
79,星宇商務長月初拜會旅遊業者時有提到台中目標放7架
79,未來會不會再加碼RMQ就看中部鄉親的支持力道了
80,那第二架A3501000什麼時候來啊
80,不是說要開美東開到哪裡去了呢
81,CI之前預測67月才能用789開，最快4月才有進度吧
82,CI三月有新業務加入沒那麼糟了
83,CI的新業務是什麼00
84,松指直飛羽田
85,日本飛起來
86,堆柵欄仔，整天松指松指松山機場不就軍民共用機場沒知識不會Google
86,立委想要帶風向堆網路空軍幫忙喊真的噁心
87,我也想要松指飛羽田包機啦坐等鄉民開團
88,如果可以飛鄉民包機你以為很難嗎
89,政府不是定調私人行程松指包機
89,幹嘛崩潰喊柵欄
89,那邊不對你們內部喬好到切合法謝謝指教不就好
90,拿軍民混用的詞來模糊軍用基地與民用航廈的不同
91,既然軍民合用，那你試試看在松指辦托運出境登機打臉大家啊
92,這推文是回錯篇了嗎XD不知道還以為JX要開松山羽田了
93,哈怎麼歪樓了
94,希望新業務是桃園小港接駁機適合精神號
95,新業務是租來的350要上線了嗎
96,逢低再加碼嗎
97,喔對欸租來的350高雄的330沒了該換手了吧反正松山又放不下00笑死，直上面上面，不如說你們的上面應該看到台灣球打太好很焦慮吧又沒東西酸了好慘啊
98,JX第二架35k應該四月多會到，五月早上兩班東京都改成35k飛了
99,35k第二架已經試飛三次了搞不好下禮拜就回家了4月初應該3397號機會回來
100,華航的787不知道到時候會不會乾脆就三四架起編隊回來，然後在跑道上空衝場解散繞五邊落地做夢
101,結果17890只試飛兩次就回家了這速度有夠快https//imopixcc/8Mo4uMjpg
102,呵呵現在變成要從松指部航廈，要不要順便在松指部跑道起飛
103,松指就說謊說的很好笑啊
104,EVA的椅子又沒有認證問題，裝好試試就能回來賺了呀XD
105,跟精神號比還各有千秋
106,應該是為台中飛日本航班多準備
107,這個問題我的家人也有，方法有兩個\n\n1換輪椅\nhttps//wwwwhilltw/model_mphp
107,"deliverJCUxMCMh\n這台電動輪椅日本製造，優點就是特別輕巧，專為可出國旅行設計\n我家就是使用這台，已經年年出國託運都沒有問題\n不過缺點是台20萬台幣，比中國製的拼裝輪椅貴很多\n\n2日本越洋航空\n目前飛沖繩的航空還有JAL旗下的日本越洋航空\n是用B737飛，雖然也是窄體客機，但是比A321的貨艙門大\n看看有沒有機會託運\n\n不過說實話，我的建議還是換台好輪椅才是勞永逸\n\n※引述ilikeleehom爆肝中~之銘言\n預計暑假前往沖繩，但家裡有身障人士，無\n法行走，必須要坐自己的無法折疊的特製推\n車，今天去\n問星宇航空，說要注意航班調度，有可能會\n臨時改變機型，從a350改成a321,這樣就無\n法托運那台推車，因為超過規定了"
107,這樣也\n無法訂機票
107,謝謝各位
108,"這輪椅也太讚了吧,現在日幣匯率沒便宜點嗎"
109,最近剛好也看到這台有在考慮
110,台灣人咩，不想多花錢，卻想多服務
111,"預計暑假前往沖繩，但家裡有身障人士，無\n\n法行走，必須要坐自己的無法折疊的特製推\n\n車，今天去\n\n問星宇航空，說要注意航班調度，有可能會\n\n臨時改變機型，從a350改成a321,這樣就無\n\n法托運那台推車，因為超過規定了"
111,這樣也\n\n無法訂機票
111,謝謝各位
112,所以要問什麼
113,搭郵輪去就好
114,最會EQV的是華航，然後看起來長榮都用321飛真的要出門只能賭星宇了吧
115,那待在家或是改東京大阪就好了會不會換機型，這只能擲杯
116,所以你要問什麼
117,供三小
118,租台輪椅在國外將就用就好
119,或許換別的點或是大郵輪都是不錯的方案
119,每個人都會想去旅遊，祝你能夠順利
120,所以
121,飛東京定350
122,飛羽田轉沖繩，兩大日籍都是用廣體飛
123,只能博杯BR高機率321CI/JX都有換21N的機率存在所以你應該是改去東京大阪不是賭沖繩至少保證有廣體機執飛的航班可以換
124,確實種困擾改搭郵輪
125,還沒訂票的話不然改成定飛廣體的航點不就好了長榮的福岡早上大阪東京定飛廣體
126,其實星宇日本線差不多都廣體了查了下剩下宮古島函館神戶神戶似乎不能起降廣體
127,坐船阿幹嘛定要坐飛機
128,去沖繩玩個最大的原因就是近，如果要搭船去的話這個優勢就不見了
129,沒辦法登機，再近也沒用
130,有什麼特殊狀況只能坐這台輪椅嗎
130,不過過程中也是得坐飛機椅跟機場輪椅，應該可以搭般輪椅才對
131,搭郵輪，或是不要去沖繩沖繩就是近，搭船才不會久到靠杯啊，怎麼會優勢不見了
131,身障真的郵輪比較好
132,你知道搭郵輪到沖繩要15小時嗎
132,這時間足夠你搭飛機到歐美了，這世界上的觀光海島那麼多，沖繩最大的優勢是搭飛機1個多小時就到，如果沒了這個優勢，我個人覺得不到非去不可
133,但身障人士應該會更注重方便而不是航行速度吧主要是郵輪大多停靠最多2天會在搭配石垣或宮古島想在沖繩多玩幾天的真的只能選飛機
134,神戶不能將廣體
134,他媽動點腦好嗎
135,神戶擋廣體可能是日本政府給的debuff
136,神戶機場有起降廣體機紀錄嗎
