"board","title","url","date","rowType","actor","content"
"Stock","[情報] 2646 星宇航空 114年EPS 、股利","https://www.ptt.cc/bbs/Stock/M.1773146027.A.95A.html","2026/03/10 20:33","article","BlueBird5566","標題：2646 星宇航空 114年EPS 、股利\n\n來源：公開資訊觀測站\n(公司名、網站名)\n\n網址：https://mopsov.twse.com.tw/mops/web/t146sb10\n(請善用縮網址工具)\n\n內文：\n\n\n說明\n1.提報董事會或經董事會決議日期:115/03/10\n2.審計委員會通過日期:115/03/10\n3.財務報告或年度自結財務資訊報導期間\n起訖日期(XXX/XX/XX~XXX/XX/XX):114/01/01~114/12/31\n4.1月1日累計至本期止營業收入(仟元):44,053,262\n5.1月1日累計至本期止營業毛利(毛損) (仟元):6,707,051\n6.1月1日累計至本期止營業利益(損失) (仟元):1,637,261\n7.1月1日累計至本期止稅前淨利(淨損) (仟元):43,471\n8.1月1日累計至本期止本期淨利(淨損) (仟元):272,608\n9.1月1日累計至本期止歸屬於母公司業主淨利(損) (仟元):272,608\n10.1月1日累計至本期止基本每股盈餘(損失) (元):0.09\n11.期末總資產(仟元):137,297,560\n12.期末總負債(仟元):105,901,272\n13.期末歸屬於母公司業主之權益(仟元):31,396,288\n14.其他應敘明事項:上列財務報告詳細資訊將於主管機關規定期限內完成上傳作業，\n屆時相關之財務報告資訊請至公開資訊觀測站查詢。\n\n\n\n說明\n1. 董事會決議日期：115/03/10\n2. 股利所屬年(季)度：114年 年度\n3. 股利所屬期間：114/01/01 至 114/12/31\n4. 股東配發內容：\n　(1)盈餘分配之現金股利(元/股)：0\n　(2)法定盈餘公積發放之現金(元/股)：0\n　(3)資本公積發放之現金(元/股)：0\n　(4)股東配發之現金(股利)總金額(元)：0\n　(5)盈餘轉增資配股(元/股)：0\n　(6)法定盈餘公積轉增資配股(元/股)：0\n　(7)資本公積轉增資配股(元/股)：0\n　(8)股東配股總股數(股)：0\n5. 其他應敘明事項：\n無。\n6. 普通股每股面額欄位：新台幣10.0000元\n\n\n\n\n\n你在哭什麼哭 沒除息\n空姐還有一個月，該滿足了\n大不了空姐跟股東一起罷工"
"Stock","[情報] 2646 星宇航空 114年EPS 、股利","https://www.ptt.cc/bbs/Stock/M.1773146027.A.95A.html","2026/03/10 20:34","comment","gannbare","玩丸完"
"Stock","[情報] 2646 星宇航空 114年EPS 、股利","https://www.ptt.cc/bbs/Stock/M.1773146027.A.95A.html","2026/03/10 20:34","comment","Muilie","重落地"
"Stock","[情報] 2646 星宇航空 114年EPS 、股利","https://www.ptt.cc/bbs/Stock/M.1773146027.A.95A.html","2026/03/10 20:35","comment","pkro12345","慘"
"Stock","[情報] 2646 星宇航空 114年EPS 、股利","https://www.ptt.cc/bbs/Stock/M.1773146027.A.95A.html","2026/03/10 20:36","comment","NEX4036","各位觀眾 八個零！"
"Stock","[情報] 2646 星宇航空 114年EPS 、股利","https://www.ptt.cc/bbs/Stock/M.1773146027.A.95A.html","2026/03/10 20:37","comment","icedog122","年終都只有一個月  不要太期待了"
"Stock","[情報] 2646 星宇航空 114年EPS 、股利","https://www.ptt.cc/bbs/Stock/M.1773146027.A.95A.html","2026/03/10 20:37","comment","CTjoey","錢都在90那了"
"Stock","[情報] 2646 星宇航空 114年EPS 、股利","https://www.ptt.cc/bbs/Stock/M.1773146027.A.95A.html","2026/03/10 20:39","comment","bensoncms","各位觀眾"
"Stock","[情報] 2646 星宇航空 114年EPS 、股利","https://www.ptt.cc/bbs/Stock/M.1773146027.A.95A.html","2026/03/10 20:39","comment","bradpete","問就是共體時艱"
"Stock","[情報] 2646 星宇航空 114年EPS 、股利","https://www.ptt.cc/bbs/Stock/M.1773146027.A.95A.html","2026/03/10 20:39","comment","sunday0913","wwwwwww"
"Stock","[情報] 2646 星宇航空 114年EPS 、股利","https://www.ptt.cc/bbs/Stock/M.1773146027.A.95A.html","2026/03/10 20:39","comment","sing60905","留給K粉買"
"Stock","[情報] 2646 星宇航空 114年EPS 、股利","https://www.ptt.cc/bbs/Stock/M.1773146027.A.95A.html","2026/03/10 20:40","comment","sheep125","錢都拿去給蔡依林拍MV了"
"Stock","[情報] 2646 星宇航空 114年EPS 、股利","https://www.ptt.cc/bbs/Stock/M.1773146027.A.95A.html","2026/03/10 20:41","comment","Heyer","0.09還有一個月 員工還不知足啊"
"Stock","[情報] 2646 星宇航空 114年EPS 、股利","https://www.ptt.cc/bbs/Stock/M.1773146027.A.95A.html","2026/03/10 20:42","comment","lsgsl","jolin拍那MV的成本應該要千萬+吧QQ"
